BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Variety,VarietyStrain,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Pre-sized,Rockit Trading Company Ltd,Rockit Manahi,F2,R2880,R2880F,12/04/2024,PE1097,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),27,9720,9720,540,0,0,0,0,9720,0,0
Pre-sized,Rockit Trading Company Ltd,Sim1,C1,R2900,R2900C,12/04/2024,PE1091,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),14,5040,5040,280,0,0,0,0,5040,0,0
Pre-sized,Rockit Trading Company Ltd,Korokipo Verries,KVR1,R2872,R2872B,8/08/2024,PE1195,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),13,4680,4680,260,0,0,0,0,4680,0,0
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879A,26/08/2024,PE1201,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),37,13320,13320,740,0,0,0,0,13320,0,0
Orchard pick,Rockit Trading Company Ltd,Moa Apples,,R1626,R1626A,4/05/2024,P1198,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),59,27035.452,22048.572,1224.903168,0,0,4986.88,277.0488861,22048.572,797.496,95699.52
Orchard pick,Rockit Trading Company Ltd,Valley,B1,R2919,R2919B,12/06/2024,P1289,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),14,6058.44,5284.08,293.56,0,0,774.36,43.01999957,5284.08,222.876,26745.12
Orchard pick,Rockit Trading Company Ltd,Steel,A,R1149,R1149A,11/04/2024,P1148,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),26,10992.02,9674.1,537.4497436,0,0,1317.92,73.21777705,9674.1,183.036,21964.32
Pre-sized,Rockit Trading Company Ltd,Longlands,,R2329,R2329B,8/08/2024,PE1194,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),20,7200,7200,400,0,0,0,0,7200,0,0
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,B3,R2879,R2879B,5/09/2024,PE1227,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),14,5040,5040,280,0,0,0,0,5040,2880,561600
Orchard pick,Rockit Trading Company Ltd,Crown,,R2924,R2924B,16/08/2024,P1410,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),122,51576.856,42016.536,2334.252,0,0,9560.32,531.1288836,42016.536,581.364,69763.68
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879B,19/08/2024,PE1200,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),37,13320,13320,740,0,0,0,0,13320,360,43200
Pre-sized,Rockit Trading Company Ltd,Riverside Apples,,R1021,R1021B,27/08/2024,PE1221,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),45,16200,16200,900,0,0,0,0,16200,0,0
Pre-sized,Rockit Trading Company Ltd,Crown,B1,R2924,R2924B,16/08/2024,PE1198,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),194,69480,69480,3860,0,0,0,0,69480,360,43200
