BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Orchard pick,Rockit Trading Company Ltd,Dartmoor,DR4,R2851,R2851G,11/04/2024,P1146,Final report sent,Smartfresh Air,21,9004.442,8432.442,468.4686965,0,0,572,31.77777746,8432.442,382.41,45889.2
Orchard pick,Rockit Trading Company Ltd,Steel,B,R1149,R1149B,5/09/2024,P1453,Final report sent,Smartfresh Air,15,6562.752,5146.272,285.904,0,0,1416.48,78.69333255,5146.272,913.068,162075.06
Orchard pick,Rockit Trading Company Ltd,HAU,,R2776,R2776B,1/07/2024,P1332,Final report sent,Smartfresh Air,369,159287.148,135402.948,7522.386,0,0,23884.2,1326.899987,135402.948,50199.156,9353976.12
Pre-sized,Rockit Trading Company Ltd,Rockit STOCK ROADS,C1,R2534,R2534C,7/09/2024,PE1236,Final report sent,Smartfresh CA,21,7560,7560,420,0,0,0,0,7560,0,0
Orchard pick,Rockit Trading Company Ltd,MANZANA 2,B,R2925,R2925B,24/06/2024,P1313,Final report sent,Smartfresh Air,57,25259.348,21036.588,1167.588,0,0,4222.76,234.5977754,21036.588,7302.276,1345182.12
Pre-sized,Rockit Trading Company Ltd,Sunvalley Orchard,NORTH,R2732,R2732A,6/09/2024,PE1232,Final report sent,Smartfresh Air,17,6120,6120,340,0,0,0,0,6120,0,0
Orchard pick,Rockit Trading Company Ltd,Home Block,A,R1230,R1230A,30/05/2024,P1248,Final report sent,Smartfresh Air,77,32112.178,28409.378,1578.299564,0,0,3702.8,205.7111091,28409.378,10372.068,2005977.96
Orchard pick,Rockit Trading Company Ltd,MANZANA 2,A,R2925,R2925A,24/06/2024,P1314,Final report sent,Smartfresh Air,82,34996.94,29033.74,1612.98545,0,0,5963.2,331.2888856,29033.74,10491.588,1873996.56
Pre-sized,Rockit Trading Company Ltd,HAU,A2,R2776,R2776A,26/06/2024,PE1169,Final report sent,Smartfresh Air,53,19080,19080,1060,0,0,0,0,19080,6840,1333800
Orchard pick,Rockit Trading Company Ltd,Longlands,,R2329,R2329D,11/06/2024,P1286,Final report sent,Smartfresh Air,51,21551.264,19392.264,1077.348,0,0,2159,119.9444432,19392.264,1979.496,237539.52
Orchard pick,Rockit Trading Company Ltd,Crown,,R2924,R2924A,24/07/2024,P1379,Final report sent,Smartfresh Air,196,83705.888,73509.048,4083.836,0,0,10196.84,566.4911054,73509.048,1400.148,168017.76
Pre-sized,Rockit Trading Company Ltd,Rockit STOCK ROADS,,R2534,R2534D,7/09/2024,PE1235,Final report sent,Smartfresh CA,60,21600,21600,1200,0,0,0,0,21600,0,0
Orchard pick,Rockit Trading Company Ltd,Steel,A,R1149,R1149A,6/09/2024,P1459,Final report sent,Smartfresh CA,50,21021.732,16366.932,909.274,0,0,4654.8,258.5999974,16366.932,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,C1,R2879,R2879C,11/05/2024,P1218,Final report sent,Smartfresh Air,49,20647.231,18012.831,1000.714705,0,0,2634.4,146.3555541,18012.831,7323.084,1368695.88
